"","target name","taccession","query name","qaccession","E-value","score","bias","dom E-value","dom score","dom bias","exp","reg","clu","ov","env","dom","rep","inc","Assembly"
"306","DBJP01000039.1_25","-","NOG.COG0094.clustalo_raw","-",9.6e-51,169.4,0.4,1e-50,169.3,0.4,1,1,0,0,1,1,1,1,"DBJP"
"328","DBJX01000030.1_28","-","NOG.COG0094.clustalo_raw","-",1.9e-53,178.3,0.5,2.2e-53,178.1,0.5,1,1,0,0,1,1,1,1,"DBJX"
"374","DBKN01000048.1_28","-","NOG.COG0094.clustalo_raw","-",2.7e-49,165,0.1,2.9e-49,164.9,0.1,1,1,0,0,1,1,1,1,"DBKN"
"388","DBKT01000012.1_72","-","NOG.COG0094.clustalo_raw","-",4.4e-55,183.7,0.6,4.8e-55,183.6,0.6,1,1,0,0,1,1,1,1,"DBKT"
"434","DBLD01000013.1_17","-","NOG.COG0094.clustalo_raw","-",2e-54,180.8,0.5,2.3e-54,180.6,0.5,1,1,0,0,1,1,1,1,"DBLD"
"448","DBLR01000013.1_125","-","NOG.COG0094.clustalo_raw","-",4.8e-57,190.9,0.7,5.6e-57,190.7,0.7,1,1,0,0,1,1,1,1,"DBLR"
"478","DBMJ01000012.1_41","-","NOG.COG0094.clustalo_raw","-",5.1e-59,197.9,0.6,5.5e-59,197.8,0.6,1,1,0,0,1,1,1,1,"DBMJ"
"492","DBNY01000055.1_15","-","NOG.COG0094.clustalo_raw","-",6.7e-48,159.5,0.1,7.2e-48,159.4,0.1,1,1,0,0,1,1,1,1,"DBNY"
"511","DBON01000103.1_28","-","NOG.COG0094.clustalo_raw","-",2.9e-61,204.5,0.5,3.3e-61,204.3,0.5,1,1,0,0,1,1,1,1,"DBON"
"525","DBOO01000028.1_33","-","NOG.COG0094.clustalo_raw","-",4e-56,187.5,0.1,4.3e-56,187.4,0.1,1,1,0,0,1,1,1,1,"DBOO"
"551","DBOV01000090.1_11","-","NOG.COG0094.clustalo_raw","-",1e-57,192.7,0.5,1.1e-57,192.5,0.5,1,1,0,0,1,1,1,1,"DBOV"
"565","DBOW01000119.1_25","-","NOG.COG0094.clustalo_raw","-",1.6e-52,175.7,0.3,1.9e-52,175.5,0.3,1,1,0,0,1,1,1,1,"DBOW"
"579","DBPD01000064.1_22","-","NOG.COG0094.clustalo_raw","-",2.2e-59,198.3,0.5,2.3e-59,198.2,0.5,1,1,0,0,1,1,1,1,"DBPD"
"593","DBPF01000147.1_14","-","NOG.COG0094.clustalo_raw","-",1.4e-42,143.1,0.4,1.8e-42,142.8,0.4,1,1,0,0,1,1,1,1,"DBPF"
"621","DBPK01000020.1_9","-","NOG.COG0094.clustalo_raw","-",1.1e-50,169.3,0.2,1.2e-50,169.1,0.2,1,1,0,0,1,1,1,1,"DBPK"
"635","DBPP01000033.1_18","-","NOG.COG0094.clustalo_raw","-",3.5e-53,178.3,0.1,4.1e-53,178,0.1,1,1,0,0,1,1,1,1,"DBPP"
"649","DBPX01000022.1_123","-","NOG.COG0094.clustalo_raw","-",3.4e-51,171.1,0.1,4.1e-51,170.9,0.1,1,1,0,0,1,1,1,1,"DBPX"
"663","DBQB01000017.1_56","-","NOG.COG0094.clustalo_raw","-",2.8e-52,175.3,0.1,3.1e-52,175.2,0.1,1,1,0,0,1,1,1,1,"DBQB"
"677","DBQC01000006.1_92","-","NOG.COG0094.clustalo_raw","-",2.1e-47,158.7,0,2.2e-47,158.6,0,1,1,0,0,1,1,1,1,"DBQC"
"691","DBQM01000019.1_63","-","NOG.COG0094.clustalo_raw","-",1.1e-51,173.2,0.2,1.2e-51,173.1,0.2,1,1,0,0,1,1,1,1,"DBQM"
"719","DBQQ01000052.1_107","-","NOG.COG0094.clustalo_raw","-",1.7e-60,202.6,0.2,2e-60,202.4,0.2,1,1,0,0,1,1,1,1,"DBQQ"
"734","DBQR01000037.1_18","-","NOG.COG0094.clustalo_raw","-",7.8e-51,170,0.1,9e-51,169.8,0.1,1,1,0,0,1,1,1,1,"DBQR"
"748","DBQV01000016.1_9","-","NOG.COG0094.clustalo_raw","-",6.9e-53,177,0.2,8.2e-53,176.8,0.2,1,1,0,0,1,1,1,1,"DBQV"
"775","DBRE01000082.1_26","-","NOG.COG0094.clustalo_raw","-",5.1e-58,194.3,0.1,5.5e-58,194.2,0.1,1,1,0,0,1,1,1,1,"DBRE"
"789","DBRF01000011.1_102","-","NOG.COG0094.clustalo_raw","-",5.5e-52,173.6,0.1,6e-52,173.5,0.1,1,1,0,0,1,1,1,1,"DBRF"
"803","DBRM01000062.1_30","-","NOG.COG0094.clustalo_raw","-",1.5e-56,189.2,0.1,1.8e-56,189,0.1,1,1,0,0,1,1,1,1,"DBRM"
"817","DBRT01000015.1_19","-","NOG.COG0094.clustalo_raw","-",3.4e-49,163.9,0.2,3.9e-49,163.7,0.2,1,1,0,0,1,1,1,1,"DBRT"
"831","DBRU01000099.1_19","-","NOG.COG0094.clustalo_raw","-",1.3e-52,176.3,0.1,1.4e-52,176.1,0.1,1,1,0,0,1,1,1,1,"DBRU"
"845","DBSD01000146.1_16","-","NOG.COG0094.clustalo_raw","-",4.6e-59,198.2,0.4,5.2e-59,198,0.4,1,1,0,0,1,1,1,1,"DBSD"
"859","DBSM01000035.1_26","-","NOG.COG0094.clustalo_raw","-",4.7e-59,198.2,0.4,5.3e-59,198,0.4,1,1,0,0,1,1,1,1,"DBSM"
"884","DBTM01000037.1_22","-","NOG.COG0094.clustalo_raw","-",1.4e-53,180.2,0.2,1.5e-53,180.1,0.2,1,1,0,0,1,1,1,1,"DBTM"
"898","DBTU01000044.1_25","-","NOG.COG0094.clustalo_raw","-",1.3e-58,197.1,0.3,1.5e-58,196.9,0.3,1,1,0,0,1,1,1,1,"DBTU"
"912","DBTX01000068.1_50","-","NOG.COG0094.clustalo_raw","-",1.8e-56,189.7,0.6,2e-56,189.5,0.6,1,1,0,0,1,1,1,1,"DBTX"
"978","DBVV01000049.1_25","-","NOG.COG0094.clustalo_raw","-",1.1e-52,176.6,0.2,1.2e-52,176.4,0.2,1,1,0,0,1,1,1,1,"DBVV"
"1015","DBWF01000030.1_28","-","NOG.COG0094.clustalo_raw","-",4.7e-57,189.2,0.2,5.3e-57,189.1,0.2,1,1,0,0,1,1,1,1,"DBWF"
"1034","DBWH01000001.1_31","-","NOG.COG0094.clustalo_raw","-",1.3e-50,169.2,0.3,1.4e-50,169.1,0.3,1,1,0,0,1,1,1,1,"DBWH"
"1048","DBWI01000009.1_29","-","NOG.COG0094.clustalo_raw","-",2.7e-49,164.3,0.2,3e-49,164.2,0.2,1,1,0,0,1,1,1,1,"DBWI"
"1063","DBWJ01000003.1_22","-","NOG.COG0094.clustalo_raw","-",5.6e-60,200.6,0.2,6.7e-60,200.3,0.2,1,1,0,0,1,1,1,1,"DBWJ"
"1122","DBWT01000064.1_5","-","NOG.COG0094.clustalo_raw","-",4.4e-56,187.1,0.3,5.1e-56,186.8,0.3,1,1,0,0,1,1,1,1,"DBWT"
"1161","DBXA01000109.1_26","-","NOG.COG0094.clustalo_raw","-",1.6e-49,166.5,0.2,1.8e-49,166.3,0.2,1,1,0,0,1,1,1,1,"DBXA"
"1195","DBXM01000010.1_14","-","NOG.COG0094.clustalo_raw","-",4.3e-51,171.3,0.1,4.7e-51,171.2,0.1,1,1,0,0,1,1,1,1,"DBXM"
"1210","DBXS01000018.1_29","-","NOG.COG0094.clustalo_raw","-",1.1e-51,172.9,0,1.3e-51,172.7,0,1,1,0,0,1,1,1,1,"DBXS"
"1225","DBXX01000032.1_18","-","NOG.COG0094.clustalo_raw","-",9.9e-59,196.5,0.3,1.1e-58,196.4,0.3,1,1,0,0,1,1,1,1,"DBXX"
"1253","DBYE01000088.1_35","-","NOG.COG0094.clustalo_raw","-",2.4e-49,165.4,0,2.7e-49,165.2,0,1,1,0,0,1,1,1,1,"DBYE"
"1267","DBYF01000025.1_45","-","NOG.COG0094.clustalo_raw","-",1e-55,186.6,0.2,1.1e-55,186.5,0.2,1,1,0,0,1,1,1,1,"DBYF"
"1283","DBYK01000001.1_392","-","NOG.COG0094.clustalo_raw","-",2.2e-55,184.4,0.2,2.5e-55,184.1,0.2,1,1,0,0,1,1,1,1,"DBYK"
"1297","DBYX01000001.1_39","-","NOG.COG0094.clustalo_raw","-",8e-59,196.9,0.3,8.7e-59,196.8,0.3,1,1,0,0,1,1,1,1,"DBYX"
"1311","DBZN01000072.1_17","-","NOG.COG0094.clustalo_raw","-",5e-56,187.4,0.5,5.4e-56,187.3,0.5,1,1,0,0,1,1,1,1,"DBZN"
"1337","DCCX01000005.1_78","-","NOG.COG0094.clustalo_raw","-",4.1e-55,183.3,0.5,4.7e-55,183.1,0.5,1,1,0,0,1,1,1,1,"DCCX"
"1351","DCDB01000086.1_20","-","NOG.COG0094.clustalo_raw","-",6.7e-56,187.6,0.3,7.4e-56,187.5,0.3,1,1,0,0,1,1,1,1,"DCDB"
"1365","DCDC01000216.1_14","-","NOG.COG0094.clustalo_raw","-",1.8e-55,185.7,0.2,2e-55,185.5,0.2,1,1,0,0,1,1,1,1,"DCDC"
"1379","DCDL01000027.1_37","-","NOG.COG0094.clustalo_raw","-",5e-57,191.7,0.6,5.4e-57,191.6,0.6,1,1,0,0,1,1,1,1,"DCDL"
"1418","DCDV01000022.1_15","-","NOG.COG0094.clustalo_raw","-",4.9e-55,183.7,0,5.3e-55,183.6,0,1,1,0,0,1,1,1,1,"DCDV"
"1432","DCDW01000034.1_44","-","NOG.COG0094.clustalo_raw","-",1.9e-54,182.4,0.2,2.2e-54,182.2,0.2,1,1,0,0,1,1,1,1,"DCDW"
"1449","DCDZ01000021.1_37","-","NOG.COG0094.clustalo_raw","-",1.4e-54,183,0.7,1.5e-54,182.9,0.7,1,1,0,0,1,1,1,1,"DCDZ"
"1463","DCED01000130.1_29","-","NOG.COG0094.clustalo_raw","-",2.1e-53,178.9,0.2,2.4e-53,178.6,0.2,1,1,0,0,1,1,1,1,"DCED"
"1478","DCEF01000020.1_219","-","NOG.COG0094.clustalo_raw","-",1.8e-52,175.3,0.1,1.9e-52,175.2,0.1,1,1,0,0,1,1,1,1,"DCEF"
"1492","DCEI01000023.1_157","-","NOG.COG0094.clustalo_raw","-",9.6e-54,179.9,0.2,1e-53,179.8,0.2,1,1,0,0,1,1,1,1,"DCEI"
"1506","DCEX01000013.1_33","-","NOG.COG0094.clustalo_raw","-",3.7e-51,171.5,0,4e-51,171.4,0,1,1,0,0,1,1,1,1,"DCEX"
"1523","DCFA01000005.1_33","-","NOG.COG0094.clustalo_raw","-",1.8e-55,185.3,0,1.9e-55,185.1,0,1,1,0,0,1,1,1,1,"DCFA"
"1537","DCFC01000035.1_85","-","NOG.COG0094.clustalo_raw","-",5.8e-53,177.5,0,6.7e-53,177.3,0,1,1,0,0,1,1,1,1,"DCFC"
"1551","DCFN01000025.1_197","-","NOG.COG0094.clustalo_raw","-",1.9e-54,182.5,0.4,2e-54,182.4,0.4,1,1,0,0,1,1,1,1,"DCFN"
"1565","DCFR01000086.1_29","-","NOG.COG0094.clustalo_raw","-",7.6e-54,180.5,0.1,8.8e-54,180.3,0.1,1,1,0,0,1,1,1,1,"DCFR"
"1579","DCFU01000005.1_75","-","NOG.COG0094.clustalo_raw","-",1.1e-51,173.9,0,1.2e-51,173.7,0,1,1,0,0,1,1,1,1,"DCFU"
"1593","DCFY01000004.1_20","-","NOG.COG0094.clustalo_raw","-",2.5e-54,181.3,0.1,3e-54,181,0.1,1,1,0,0,1,1,1,1,"DCFY"
"1661","DCGL01000010.1_45","-","NOG.COG0094.clustalo_raw","-",9.3e-50,166.7,0.1,1e-49,166.6,0.1,1,1,0,0,1,1,1,1,"DCGL"
"1723","DCGS01000012.1_17","-","NOG.COG0094.clustalo_raw","-",8.3e-54,179.7,0.1,9.2e-54,179.6,0.1,1,1,0,0,1,1,1,1,"DCGS"
"1738","DCGT01000022.1_5","-","NOG.COG0094.clustalo_raw","-",5.2e-51,170.2,0.1,5.9e-51,170,0.1,1,1,0,0,1,1,1,1,"DCGT"
"1752","DCGU01000002.1_31","-","NOG.COG0094.clustalo_raw","-",8.1e-55,183.4,0.1,9e-55,183.2,0.1,1,1,0,0,1,1,1,1,"DCGU"
"1766","DCGW01000070.1_27","-","NOG.COG0094.clustalo_raw","-",6.7e-56,186.6,0.2,7.6e-56,186.4,0.2,1,1,0,0,1,1,1,1,"DCGW"
"1813","DCHD01000004.1_37","-","NOG.COG0094.clustalo_raw","-",2.1e-55,185.1,0.8,2.3e-55,185,0.8,1,1,0,0,1,1,1,1,"DCHD"
"1831","DCHF01000001.1_127","-","NOG.COG0094.clustalo_raw","-",4.6e-59,197.9,0.4,5.4e-59,197.7,0.4,1,1,0,0,1,1,1,1,"DCHF"
"1873","DCHM01000022.1_7","-","NOG.COG0094.clustalo_raw","-",2.3e-47,158.3,0,2.5e-47,158.3,0,1,1,0,0,1,1,1,1,"DCHM"
"1888","DCHO01000004.1_48","-","NOG.COG0094.clustalo_raw","-",3.5e-50,168.5,0.3,3.9e-50,168.4,0.3,1,1,0,0,1,1,1,1,"DCHO"
"1908","DCHU01000026.1_48","-","NOG.COG0094.clustalo_raw","-",2.6e-54,181.4,0.1,2.9e-54,181.3,0.1,1,1,0,0,1,1,1,1,"DCHU"
"1922","DCHW01000016.1_25","-","NOG.COG0094.clustalo_raw","-",1.6e-52,175.6,0.2,1.8e-52,175.4,0.2,1,1,0,0,1,1,1,1,"DCHW"
"1936","DCHX01000021.1_42","-","NOG.COG0094.clustalo_raw","-",2.1e-52,174.7,0.1,2.4e-52,174.6,0.1,1,1,0,0,1,1,1,1,"DCHX"
"1950","DCHY01000029.1_41","-","NOG.COG0094.clustalo_raw","-",5.3e-49,163.4,0.2,5.7e-49,163.3,0.2,1,1,0,0,1,1,1,1,"DCHY"
"1964","DCHZ01000023.1_15","-","NOG.COG0094.clustalo_raw","-",9.9e-56,186,0.5,1.1e-55,185.9,0.5,1,1,0,0,1,1,1,1,"DCHZ"
"1978","DCIA01000008.1_44","-","NOG.COG0094.clustalo_raw","-",8.9e-56,186,0.1,9.8e-56,185.9,0.1,1,1,0,0,1,1,1,1,"DCIA"
"1992","DCIE01000019.1_68","-","NOG.COG0094.clustalo_raw","-",2.4e-52,175.2,0.1,2.8e-52,175,0.1,1,1,0,0,1,1,1,1,"DCIE"
"2006","DCII01000054.1_41","-","NOG.COG0094.clustalo_raw","-",2e-57,192,0.2,2.3e-57,191.8,0.2,1,1,0,0,1,1,1,1,"DCII"
"2021","DCIK01000020.1_28","-","NOG.COG0094.clustalo_raw","-",3.6e-50,167.8,0.2,3.9e-50,167.7,0.2,1,1,0,0,1,1,1,1,"DCIK"
"2038","DCIT01000054.1_23","-","NOG.COG0094.clustalo_raw","-",1.6e-55,184.6,0.2,1.7e-55,184.6,0.2,1,1,0,0,1,1,1,1,"DCIT"
"2052","DCJA01000033.1_26","-","NOG.COG0094.clustalo_raw","-",6e-61,203.7,0.3,6.7e-61,203.5,0.3,1,1,0,0,1,1,1,1,"DCJA"
"2066","DCJD01000010.1_38","-","NOG.COG0094.clustalo_raw","-",2e-54,180.9,0.4,2.1e-54,180.8,0.4,1,1,0,0,1,1,1,1,"DCJD"
"2093","DCJJ01000161.1_37","-","NOG.COG0094.clustalo_raw","-",1.5e-56,189,0,1.7e-56,188.8,0,1,1,0,0,1,1,1,1,"DCJJ"
"2107","DCJK01000014.1_20","-","NOG.COG0094.clustalo_raw","-",1.1e-54,183.1,0.5,1.3e-54,182.9,0.5,1,1,0,0,1,1,1,1,"DCJK"
"2121","DCJL01000017.1_44","-","NOG.COG0094.clustalo_raw","-",1.3e-48,162.9,0.1,1.4e-48,162.7,0.1,1,1,0,0,1,1,1,1,"DCJL"
"2135","DCJQ01000035.1_71","-","NOG.COG0094.clustalo_raw","-",4.6e-55,184.1,0.3,5.4e-55,183.9,0.3,1,1,0,0,1,1,1,1,"DCJQ"
"2149","DCJV01000099.1_22","-","NOG.COG0094.clustalo_raw","-",9e-54,180.1,0,9.7e-54,180,0,1,1,0,0,1,1,1,1,"DCJV"
"2163","DCKB01000051.1_24","-","NOG.COG0094.clustalo_raw","-",7.7e-54,180.5,0.5,8.7e-54,180.3,0.5,1,1,0,0,1,1,1,1,"DCKB"
"2177","DCKD01000040.1_28","-","NOG.COG0094.clustalo_raw","-",5.1e-58,194.6,0.5,5.5e-58,194.5,0.5,1,1,0,0,1,1,1,1,"DCKD"
"2191","DCLI01000015.1_23","-","NOG.COG0094.clustalo_raw","-",2.7e-56,189.6,0.3,2.9e-56,189.5,0.3,1,1,0,0,1,1,1,1,"DCLI"
"2205","DCLJ01000103.1_44","-","NOG.COG0094.clustalo_raw","-",4.2e-58,195.7,0.5,4.8e-58,195.5,0.5,1,1,0,0,1,1,1,1,"DCLJ"
"2219","DCMK01000017.1_27","-","NOG.COG0094.clustalo_raw","-",3.4e-54,180.8,0.5,3.9e-54,180.6,0.5,1,1,0,0,1,1,1,1,"DCMK"
"2233","DCPV01000068.1_33","-","NOG.COG0094.clustalo_raw","-",3e-59,198.7,0.3,3.3e-59,198.6,0.3,1,1,0,0,1,1,1,1,"DCPV"
"2257","DCTF01000115.1_7","-","NOG.COG0094.clustalo_raw","-",1.8e-51,172.2,0,2e-51,172.1,0,1,1,0,0,1,1,1,1,"DCTF"
"2278","DCTH01000201.1_9","-","NOG.COG0094.clustalo_raw","-",1.4e-57,192.9,0.2,1.5e-57,192.8,0.2,1,1,0,0,1,1,1,1,"DCTH"
"2338","DCTV01000067.1_22","-","NOG.COG0094.clustalo_raw","-",8.2e-51,169.9,0.1,8.8e-51,169.8,0.1,1,1,0,0,1,1,1,1,"DCTV"
"2365","DCTZ01000005.1_61","-","NOG.COG0094.clustalo_raw","-",3.6e-59,197.3,0.3,4.2e-59,197.1,0.3,1,1,0,0,1,1,1,1,"DCTZ"
"2379","DCUA01000226.1_18","-","NOG.COG0094.clustalo_raw","-",9.3e-53,176.9,1.1,1.1e-52,176.7,1.1,1,1,0,0,1,1,1,1,"DCUA"
"2393","DCUB01000012.1_66","-","NOG.COG0094.clustalo_raw","-",9.6e-54,179.9,0,1e-53,179.8,0,1,1,0,0,1,1,1,1,"DCUB"
"2407","DCUC01000061.1_20","-","NOG.COG0094.clustalo_raw","-",1.7e-51,171.6,1.6,1.9e-51,171.4,1.6,1.1,1,0,0,1,1,1,1,"DCUC"
"2428","DCYG01000034.1_17","-","NOG.COG0094.clustalo_raw","-",2.3e-55,186.1,0.5,2.7e-55,185.9,0.5,1,1,0,0,1,1,1,1,"DCYG"
"2454","DCZJ01000201.1_18","-","NOG.COG0094.clustalo_raw","-",8.3e-52,173.5,0.1,9e-52,173.4,0.1,1,1,0,0,1,1,1,1,"DCZJ"
"2470","DDAM01000005.1_56","-","NOG.COG0094.clustalo_raw","-",1.2e-55,186.8,0.4,1.3e-55,186.7,0.4,1,1,0,0,1,1,1,1,"DDAM"
"2485","DDBQ01000080.1_14","-","NOG.COG0094.clustalo_raw","-",2.2e-58,196.1,0,2.5e-58,195.9,0,1,1,0,0,1,1,1,1,"DDBQ"
"2524","DDJI01000108.1_69","-","NOG.COG0094.clustalo_raw","-",1.3e-51,172.7,0.2,1.4e-51,172.5,0.2,1,1,0,0,1,1,1,1,"DDJI"
"2538","DDKM01000081.1_14","-","NOG.COG0094.clustalo_raw","-",3.2e-55,185.1,0,3.8e-55,184.8,0,1,1,0,0,1,1,1,1,"DDKM"
"2568","DDLY01000110.1_6","-","NOG.COG0094.clustalo_raw","-",4.1e-53,177.6,0,4.8e-53,177.4,0,1,1,0,0,1,1,1,1,"DDLY"
"2582","DDMB01000055.1_36","-","NOG.COG0094.clustalo_raw","-",4.4e-53,177.6,0,5.2e-53,177.4,0,1,1,0,0,1,1,1,1,"DDMB"
"2596","DDNC01000025.1_31","-","NOG.COG0094.clustalo_raw","-",2e-55,186.2,0.8,2.2e-55,186,0.8,1,1,0,0,1,1,1,1,"DDNC"
"2611","DDOV01000031.1_14","-","NOG.COG0094.clustalo_raw","-",2.8e-55,186.2,0.8,3e-55,186.1,0.8,1,1,0,0,1,1,1,1,"DDOV"
"2641","DDQW01000031.1_20","-","NOG.COG0094.clustalo_raw","-",5.8e-58,194.8,0.3,6.5e-58,194.6,0.3,1,1,0,0,1,1,1,1,"DDQW"
"2658","DDWA01000026.1_47","-","NOG.COG0094.clustalo_raw","-",3.6e-44,147.8,0,4e-44,147.7,0,1,1,0,0,1,1,1,1,"DDWA"
"2673","DDWC01000076.1_8","-","NOG.COG0094.clustalo_raw","-",6.4e-56,187.5,0.1,6.9e-56,187.4,0.1,1,1,0,0,1,1,1,1,"DDWC"
"2704","DDXD01000206.1_2","-","NOG.COG0094.clustalo_raw","-",5e-56,187.4,0.2,6.1e-56,187.1,0.2,1,1,0,0,1,1,1,1,"DDXD"
"2718","DDXI01000093.1_30","-","NOG.COG0094.clustalo_raw","-",1.8e-54,182.5,0.2,2e-54,182.4,0.2,1,1,0,0,1,1,1,1,"DDXI"
"2732","DDXL01000046.1_49","-","NOG.COG0094.clustalo_raw","-",4.2e-56,187.6,0.6,4.7e-56,187.5,0.6,1,1,0,0,1,1,1,1,"DDXL"
"2746","DDYG01000081.1_54","-","NOG.COG0094.clustalo_raw","-",5.8e-56,187.9,0.2,6.3e-56,187.8,0.2,1,1,0,0,1,1,1,1,"DDYG"
"2760","DDYT01000030.1_41","-","NOG.COG0094.clustalo_raw","-",1.6e-56,189.1,0.2,1.8e-56,189,0.2,1,1,0,0,1,1,1,1,"DDYT"
"2786","DEBX01000062.1_47","-","NOG.COG0094.clustalo_raw","-",2.1e-58,195.8,0.3,2.3e-58,195.7,0.3,1,1,0,0,1,1,1,1,"DEBX"
"2800","DEBY01000001.1_27","-","NOG.COG0094.clustalo_raw","-",8.4e-54,180,0,9.5e-54,179.8,0,1,1,0,0,1,1,1,1,"DEBY"
"2814","DEBZ01000014.1_16","-","NOG.COG0094.clustalo_raw","-",2.1e-48,163,0.1,2.5e-48,162.7,0.1,1,1,0,0,1,1,1,1,"DEBZ"
"2874","DECK01000160.1_15","-","NOG.COG0094.clustalo_raw","-",3.9e-62,207.9,0.6,4.1e-62,207.8,0.6,1,1,0,0,1,1,1,1,"DECK"
"2889","DECU01000017.1_18","-","NOG.COG0094.clustalo_raw","-",3.7e-48,161,0.1,4.3e-48,160.7,0.1,1,1,0,0,1,1,1,1,"DECU"
"2903","DECV01000042.1_66","-","NOG.COG0094.clustalo_raw","-",2.5e-50,168.5,0,2.8e-50,168.4,0,1,1,0,0,1,1,1,1,"DECV"
"2917","DECX01000004.1_39","-","NOG.COG0094.clustalo_raw","-",5.3e-55,183.1,0.5,6.3e-55,182.8,0.5,1,1,0,0,1,1,1,1,"DECX"
"2931","DEDB01000037.1_33","-","NOG.COG0094.clustalo_raw","-",6.4e-49,163.8,0.4,6.9e-49,163.7,0.4,1,1,0,0,1,1,1,1,"DEDB"
"2960","DEDH01000043.1_37","-","NOG.COG0094.clustalo_raw","-",6.2e-57,190.3,0,7e-57,190.2,0,1,1,0,0,1,1,1,1,"DEDH"
"3006","DEDK01000135.1_8","-","NOG.COG0094.clustalo_raw","-",2.2e-56,189.1,0.3,2.4e-56,189,0.3,1,1,0,0,1,1,1,1,"DEDK"
"3021","DEDL01000031.1_23","-","NOG.COG0094.clustalo_raw","-",9.7e-60,199.7,0.2,1.1e-59,199.5,0.2,1,1,0,0,1,1,1,1,"DEDL"
"3036","DEDM01000022.1_37","-","NOG.COG0094.clustalo_raw","-",1.2e-60,203.2,0.4,1.4e-60,203,0.4,1,1,0,0,1,1,1,1,"DEDM"
"3077","DEDT01000016.1_38","-","NOG.COG0094.clustalo_raw","-",5.3e-56,187.6,0.1,5.7e-56,187.5,0.1,1,1,0,0,1,1,1,1,"DEDT"
"3091","DEDU01000078.1_47","-","NOG.COG0094.clustalo_raw","-",8.7e-49,163.3,0,9.4e-49,163.2,0,1,1,0,0,1,1,1,1,"DEDU"
"3118","DEDX01000048.1_66","-","NOG.COG0094.clustalo_raw","-",2.6e-50,168.5,0,2.9e-50,168.4,0,1,1,0,0,1,1,1,1,"DEDX"
"3132","DEDZ01000040.1_37","-","NOG.COG0094.clustalo_raw","-",5.6e-60,200.4,0.3,6.6e-60,200.2,0.3,1,1,0,0,1,1,1,1,"DEDZ"
"3146","DEEC01000030.1_19","-","NOG.COG0094.clustalo_raw","-",6.3e-60,199.9,0.2,6.8e-60,199.8,0.2,1,1,0,0,1,1,1,1,"DEEC"
"3160","DEED01000066.1_48","-","NOG.COG0094.clustalo_raw","-",1.5e-55,186,0.3,1.7e-55,185.8,0.3,1,1,0,0,1,1,1,1,"DEED"
"3174","DEEE01000042.1_33","-","NOG.COG0094.clustalo_raw","-",1.2e-59,199.6,0.5,1.3e-59,199.5,0.5,1,1,0,0,1,1,1,1,"DEEE"
