"","Nuccore_ID","target name","taccession","query name","qaccession","E-value","score","bias","dom E-value","dom score","dom bias","exp","reg","clu","ov","env","dom","rep","inc","Definition","Source","WW_IDs","Spore.Forming.(Weller.and.Wu)","Spore.Genes.(Weller.and.Wu)","Genus","Species","Assembly","Phylum","Class","Order","Family"
"652","NC_009848.4","lcl|NC_009848.4_prot_WP_003217159.1_131","-","NOG.COG0094.clustalo_raw","-",1.9e-55,186.5,0.5,2e-55,186.3,0.5,1,1,0,0,1,1,1,1,"Bacillus pumilus SAFR-032, complete genome","Bacillus pumilus SAFR-032","Bacillus pumilus ","Y","134","Bacillus","pumilus","GCF_000017885.4","Firmicutes","Bacilli","Bacillales","Bacillaceae"
"665","NC_009922.1","lcl|NC_009922.1_prot_WP_012158380.1_510","-","NOG.COG0094.clustalo_raw","-",2.7e-56,188.9,0.1,2.9e-56,188.8,0.1,1,1,0,0,1,1,1,1,"Alkaliphilus oremlandii OhILAs, complete genome","Alkaliphilus oremlandii OhILAs","Alkaliphilus oremlandii ","Y","60","Alkaliphilus","oremlandii","GCF_000018325.1","Firmicutes","Clostridia","Clostridiales","Clostridiaceae"
"679","NC_010001.1","lcl|NC_010001.1_prot_WP_012201650.1_3720","-","NOG.COG0094.clustalo_raw","-",1.4e-56,190.3,0.6,1.5e-56,190.2,0.6,1,1,0,0,1,1,1,1,"Lachnoclostridium phytofermentans ISDg, complete genome","Lachnoclostridium phytofermentans ISDg","Lachnoclostridium phytofermentans ","Y","51","Lachnoclostridium","phytofermentans","GCF_000018685.1","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae"
"683","NC_010079.1","lcl|NC_010079.1_prot_WP_001080824.1_2409","-","NOG.COG0094.clustalo_raw","-",2.8e-57,192.2,0.5,3.2e-57,192,0.5,1,1,0,0,1,1,1,1,"Staphylococcus aureus subsp. aureus USA300_TCH1516, complete genome","Staphylococcus aureus subsp. aureus USA300_TCH1516","Staphylococcus aureus ","N","12","Staphylococcus","aureus","GCF_000017085.1","Firmicutes","Bacilli","Bacillales","Staphylococcaceae"
"697","NC_010184.1","lcl|NC_010184.1_prot_WP_002091528.1_119","-","NOG.COG0094.clustalo_raw","-",3.3e-56,189.6,0.7,3.6e-56,189.5,0.7,1,1,0,0,1,1,1,1,"Bacillus weihenstephanensis KBAB4, complete genome","Bacillus weihenstephanensis KBAB4","Bacillus weihenstephanensis ","Y","115","Bacillus","weihenstephanensis","GCF_000018825.1","Firmicutes","Bacilli","Bacillales","Bacillaceae"
"713","NC_010337.2","lcl|NC_010337.2_prot_WP_012282483.1_1230","-","NOG.COG0094.clustalo_raw","-",1.4e-56,189.8,0.1,1.6e-56,189.6,0.1,1,1,0,0,1,1,1,1,"Heliobacterium modesticaldum Ice1 strain Ice1, complete genome","Heliobacterium modesticaldum Ice1 strain Ice1","Heliobacterium modesticaldum ","Y","72","Heliobacterium","modesticaldum","GCF_000019165.1","Firmicutes","Clostridia","Clostridiales","Heliobacteriaceae"
"727","NC_010376.1","lcl|NC_010376.1_prot_WP_002837392.1_171","-","NOG.COG0094.clustalo_raw","-",1e-56,189.6,0.9,1.1e-56,189.5,0.9,1,1,0,0,1,1,1,1,"Finegoldia magna ATCC 29328 DNA, complete genome","Finegoldia magna ATCC 29328","Finegoldia magna ","N","11","Finegoldia","magna","GCF_000010185.1","Firmicutes","Tissierellia","Tissierellales","Peptoniphilaceae"
"744","NC_010424.1","lcl|NC_010424.1_prot_WP_012301390.1_242","-","NOG.COG0094.clustalo_raw","-",3.8e-54,181.4,0.1,4.3e-54,181.3,0.1,1,1,0,0,1,1,1,1,"Candidatus Desulforudis audaxviator MP104C, complete genome","Candidatus Desulforudis audaxviator MP104C","Candidatus Desulforudis audaxviator ","Y","62","Desulforudis","audaxviator","GCF_000018425.1","Firmicutes","Clostridia","Clostridiales","Peptococcaceae"
"755","NC_010471.1","lcl|NC_010471.1_prot_WP_004899445.1_1588","-","NOG.COG0094.clustalo_raw","-",3e-51,171.6,0,3.4e-51,171.4,0,1,1,0,0,1,1,1,1,"Leuconostoc citreum KM20, complete genome","Leuconostoc citreum KM20","Leuconostoc citreum ","N","14","Leuconostoc","citreum","GCF_000026405.1","Firmicutes","Bacilli","Lactobacillales","Leuconostocaceae"
"769","NC_010674.1","lcl|NC_010674.1_prot_WP_003374539.1_217","-","NOG.COG0094.clustalo_raw","-",1.2e-55,187,0.5,1.3e-55,186.9,0.5,1,1,0,0,1,1,1,1,"Clostridium botulinum B str. Eklund 17B, complete genome","Clostridium botulinum B str. Eklund 17B (NRP)","Clostridium botulinum B ","Y","65","Clostridium","botulinum","GCF_000020165.1","Firmicutes","Clostridia","Clostridiales","Clostridiaceae"
"783","NC_011567.1","lcl|NC_011567.1_prot_WP_012573860.1_117","-","NOG.COG0094.clustalo_raw","-",2.7e-57,192.2,0.4,3e-57,192.1,0.4,1,1,0,0,1,1,1,1,"Anoxybacillus flavithermus WK1, complete genome","Anoxybacillus flavithermus WK1","Anoxybacillus flavithermus ","Y","96","Anoxybacillus","flavithermus","GCF_000019045.1","Firmicutes","Bacilli","Bacillales","Bacillaceae"
"797","NC_011830.1","lcl|NC_011830.1_prot_WP_005810141.1_434","-","NOG.COG0094.clustalo_raw","-",4.6e-55,185.6,0.2,5.4e-55,185.4,0.2,1,1,0,0,1,1,1,1,"Desulfitobacterium hafniense DCB-2, complete genome","Desulfitobacterium hafniense DCB-2","Desulfitobacterium hafniense ","Y","65","Desulfitobacterium","hafniense","GCF_000021925.1","Firmicutes","Clostridia","Clostridiales","Peptococcaceae"
"811","NC_011837.1","lcl|NC_011837.1_prot_WP_011988815.1_203","-","NOG.COG0094.clustalo_raw","-",7.3e-56,187.8,0.2,8e-56,187.7,0.2,1,1,0,0,1,1,1,1,"Clostridium kluyveri NBRC 12016 DNA, complete genome","Clostridium kluyveri NBRC 12016","Clostridium kluyveri ","Y","62","Clostridium","kluyveri","GCF_000010265.1","Firmicutes","Clostridia","Clostridiales","Clostridiaceae"
"828","NC_011898.1","lcl|NC_011898.1_prot_WP_015924313.1_761","-","NOG.COG0094.clustalo_raw","-",1.5e-55,186.6,0.2,1.8e-55,186.4,0.2,1,1,0,0,1,1,1,1,"Ruminiclostridium cellulolyticum H10, complete genome","Ruminiclostridium cellulolyticum H10","Clostridium cellulolyticum ","Y","62","Ruminiclostridium","cellulolyticum","GCF_000022065.1","Firmicutes","Clostridia","Clostridiales","Hungateiclostridiaceae"
"839","NC_011899.1","lcl|NC_011899.1_prot_WP_012635088.1_130","-","NOG.COG0094.clustalo_raw","-",9.6e-54,180.2,0.1,1.1e-53,180,0.1,1,1,0,0,1,1,1,1,"Halothermothrix orenii H 168, complete genome","Halothermothrix orenii H 168","Halothermothrix orenii ","Y","61","Halothermothrix","orenii","GCF_000020485.1","Firmicutes","Clostridia","Halanaerobiales","Halanaerobiaceae"
"865","NC_011999.1","lcl|NC_011999.1_prot_WP_012656118.1_212","-","NOG.COG0094.clustalo_raw","-",5e-57,190.9,0.7,5.9e-57,190.7,0.7,1,1,0,0,1,1,1,1,"Macrococcus caseolyticus JCSC5402 DNA, complete genome","Macrococcus caseolyticus JCSC5402","Macrococcus caseolyticus ","N","17","Macrococcus","caseolyticus","GCF_000010585.1","Firmicutes","Bacilli","Bacillales","Staphylococcaceae"
"868","NC_012004.1","lcl|NC_012004.1_prot_WP_012657642.1_76","-","NOG.COG0094.clustalo_raw","-",8.6e-54,179.9,0.1,9.5e-54,179.8,0.1,1,1,0,0,1,1,1,1,"Streptococcus uberis 0140J complete genome","Streptococcus uberis 0140J","Streptococcus uberis ","N","12","Streptococcus","uberis","GCF_000009545.1","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae"
"882","NC_012121.1","lcl|NC_012121.1_prot_WP_015900967.1_1695","-","NOG.COG0094.clustalo_raw","-",3.4e-58,194.9,0.4,4e-58,194.7,0.4,1,1,0,0,1,1,1,1,"Staphylococcus carnosus subsp. carnosus TM300 complete genome","Staphylococcus carnosus subsp. carnosus TM30","Staphylococcus carnosus ","N","15","Staphylococcus","carnosus","GCF_000009405.1","Firmicutes","Bacilli","Bacillales","Staphylococcaceae"
"896","NC_012491.1","lcl|NC_012491.1_prot_WP_012683991.1_235","-","NOG.COG0094.clustalo_raw","-",3.4e-57,192.9,0.4,3.7e-57,192.7,0.4,1,1,0,0,1,1,1,1,"Brevibacillus brevis NBRC 100599 DNA, complete genome","Brevibacillus brevis NBRC 100599","Brevibacillus brevis ","Y","103","Brevibacillus","brevis","GCF_000010165.1","Firmicutes","Bacilli","Bacillales","Paenibacillaceae"
"910","NC_012673.1","lcl|NC_012673.1_prot_WP_012727665.1_1602","-","NOG.COG0094.clustalo_raw","-",3.5e-56,188.6,0.3,3.8e-56,188.5,0.3,1,1,0,0,1,1,1,1,"Exiguobacterium sp. AT1b, complete genome","Exiguobacterium sp. AT1b","Exiguobacterium sp. AT1b","N","30","Exiguobacterium","sp. AT1b","GCF_000023045.1","Firmicutes","Bacilli","Bacillales","Bacillales Family XII. Incertae Sedis"
"924","NC_012778.1","lcl|NC_012778.1_prot_WP_022097710.1_291","-","NOG.COG0094.clustalo_raw","-",1.3e-58,196.4,0.6,1.4e-58,196.3,0.6,1,1,0,0,1,1,1,1,"[Eubacterium] eligens ATCC 27750, complete genome","Eubacterium eligens ATCC 27750","Eubacterium eligens ","Y","48","Eubacterium","eligens","GCF_000146185.1","Firmicutes","Clostridia","Clostridiales","Eubacteriaceae"
"941","NC_012914.1","lcl|NC_012914.1_prot_WP_015847212.1_5618","-","NOG.COG0094.clustalo_raw","-",4.9e-57,192.4,0.3,5.8e-57,192.2,0.3,1,1,0,0,1,1,1,1,"Paenibacillus sp. JDR-2, complete genome","Paenibacillus sp. JDR-2","Paenibacillus sp. JDR-2","Y","103","Paenibacillus","sp. JDR-2","GCF_000023585.1","Firmicutes","Bacilli","Bacillales","Paenibacillaceae"
"959","NC_013171.1","lcl|NC_013171.1_prot_WP_015778479.1_1546","-","NOG.COG0094.clustalo_raw","-",1.4e-51,172.6,0.1,1.6e-51,172.5,0.1,1,1,0,0,1,1,1,1,"Anaerococcus prevotii DSM 20548, complete genome","Anaerococcus prevotii DSM 20548","Anaerococcus prevotii ","N","14","Anaerococcus","prevotii","GCF_000024105.1","Firmicutes","Tissierellia","Tissierellales","Peptoniphilaceae"
"973","NC_013216.1","lcl|NC_013216.1_prot_WP_015755972.1_296","-","NOG.COG0094.clustalo_raw","-",1.7e-56,190.1,0.4,2e-56,189.8,0.4,1,1,0,0,1,1,1,1,"Desulfotomaculum acetoxidans DSM 771, complete genome","Desulfotomaculum acetoxidans DSM 771","Desulfotomaculum acetoxidans ","Y","68","Desulfotomaculum","acetoxidans","GCF_000024205.1","Firmicutes","Clostridia","Clostridiales","Peptococcaceae"
